Sample,Haplotype,SNPDistance,Titer
DB-G11,H57,25.04,7.0125647428388
DB-G2,H57,25.04,11.8995811803614
DB-G3,H57,25.04,7.8628915190136
DB-G4,H57,25.04,9.10965028730088
DB-G5,H57,25.04,6.45423161801171
DB-G6,H57,25.04,2.70202253785205
DB-G8,H57,25.04,4.8226140207348
DB-H10,H57,25.04,5.71425867381705
DB-H12,H57,25.04,7.11036391678405
DB-H2,H57,25.04,8.67587632414279
DB-H4,H57,25.04,9.18850644719146
DB-H5,H57,25.04,6.39600684622554
DB-H6,H57,25.04,12.816474617866
DB-H8,H57,25.04,6.36168387288092
DB-H9,H57,25.04,8.47285241950389
CA-C10,H58,25.04,7.97640002621955
CA-D10,H58,25.04 4.08700943415981
